Month,Mining,Manufacturing,Electricity,General
2022-04,116.6,131.6,194.5,134.5
2022-05,120.4,134.6,199.9,137.8
2022-06,113.7,136.8,196.9,138.3
2022-07,101.1,135.0,188.9,134.4
2022-08,99.6,131.3,191.3,131.5
2022-09,100.0,134.6,187.4,133.8
2022-10,112.6,128.5,169.3,129.5
2022-11,122.7,137.5,166.7,137.7
2022-12,132.6,144.9,179.4,145.9
2023-01,136.1,145.5,186.6,147.4
2023-02,129.2,137.6,174.0,139.3
2023-03,154.2,147.5,188.0,151.7
2023-04,122.6,138.8,192.3,140.7
2023-05,128.1,143.1,201.6,145.6
2023-06,122.3,141.6,205.2,143.9
2023-07,111.9,142.1,204.0,142.7
2023-08,111.9,144.4,220.5,145.8
2023-09,111.5,141.5,205.9,142.3
2023-10,127.4,142.1,203.8,144.9
2023-11,131.3,139.3,176.3,141.1
2023-12,139.5,151.6,181.6,152.3
2024-01,144.3,150.8,197.1,153.6
2024-02,139.7,144.4,187.2,147.1
2024-03,156.2,156.2,204.2,160.0
2024-04,130.9,144.6,212.0,148.0
2024-05,136.5,150.4,229.3,154.7
2024-06,134.9,146.6,222.8,151.0
2024-07,116.1,148.8,220.2,149.8
2024-08,107.1,146.1,212.3,145.8
2024-09,111.7,147.2,206.9,146.9
2024-10,128.5,148.4,207.8,150.3
